response_correct;direction;response;previous;rt
1;2;1;0;989
1;1;-1;2;552
1;1;-1;1;558
1;2;1;1;549
1;2;1;2;386
0;1;1;2;431
1;1;-1;1;522
1;1;-1;1;750
1;2;1;1;625
1;1;-1;2;725
1;2;1;1;488
1;1;-1;2;700
1;2;1;1;619
1;2;1;2;449
1;1;-1;2;576
1;1;-1;1;473
1;1;-1;1;503
1;2;1;1;471
1;2;1;2;474
1;2;1;2;481
1;1;-1;2;617
1;2;1;1;506
1;2;1;2;478
1;1;-1;2;401
1;2;1;1;533
1;1;-1;2;537
1;2;1;1;579
1;1;-1;2;454
1;1;-1;1;460
1;2;1;1;576
1;2;1;2;496
1;2;1;2;469
1;2;1;2;390
1;1;-1;2;458
1;1;-1;1;690
1;1;-1;1;727
1;2;1;1;508
1;2;1;2;501
1;1;-1;2;545
1;2;1;1;406
1;1;-1;2;663
1;2;1;1;395
1;1;-1;2;618
1;1;-1;1;696
1;2;1;1;603
1;2;1;2;455
1;1;-1;2;453
1;1;-1;1;451
